Month,Air RPM (billions)
Jan-90,35.15
Feb-90,32.97
Mar-90,39.99
Apr-90,37.98
May-90,38.42
Jun-90,42.82
Jul-90,45.77
Aug-90,48.76
Sep-90,38.17
Oct-90,39.05
Nov-90,35.7
Dec-90,37.44
Jan-91,34.85
Feb-91,29.67
Mar-91,36.2
Apr-91,37.15
May-91,38.87
Jun-91,42.2
Jul-91,45.38
Aug-91,48.16
Sep-91,38.48
Oct-91,39.06
Nov-91,34.69
Dec-91,38.58
Jan-92,35.27
Feb-92,33.87
Mar-92,39.72
Apr-92,37.29
May-92,39.73
Jun-92,45.75
Jul-92,50.81
Aug-92,53.22
Sep-92,41.56
Oct-92,40.58
Nov-92,36.86
Dec-92,39.05
Jan-93,37.91
Feb-93,34.9
Mar-93,42.06
Apr-93,40.81
May-93,42.13
Jun-93,44.68
Jul-93,48.62
Aug-93,50.45
Sep-93,41.68
Oct-93,43.26
Nov-93,38.87
Dec-93,40.61
Jan-94,38.86
Feb-94,36.07
Mar-94,45.43
Apr-94,42.42
May-94,44.3
Jun-94,48.17
Jul-94,52.41
Aug-94,53.24
Sep-94,44.68
Oct-94,45.85
Nov-94,42.23
Dec-94,43.87
Jan-95,42.05
Feb-95,38.58
Mar-95,47.39
Apr-95,45.43
May-95,45.92
Jun-95,49.99
Jul-95,53.35
Aug-95,54.78
Sep-95,45.59
Oct-95,46.99
Nov-95,43.7
Dec-95,45.02
Jan-96,42.73
Feb-96,43.06
Mar-96,51.65
Apr-96,48.06
May-96,49.81
Jun-96,53.77
Jul-96,56.58
Aug-96,58.71
Sep-96,47.86
Oct-96,49.87
Nov-96,44.7
Dec-96,49.36
Jan-97,46.69
Feb-97,43.76
Mar-97,54.76
Apr-97,50.18
May-97,51.98
Jun-97,55.46
Jul-97,58.77
Aug-97,60.5
Sep-97,50.08
Oct-97,51.85
Nov-97,47.74
Dec-97,50.41
Jan-98,47.29
Feb-98,44.64
Mar-98,54.45
Apr-98,53.04
May-98,54.3
Jun-98,57.34
Jul-98,59.44
Aug-98,60.81
Sep-98,49.56
Oct-98,53.46
Nov-98,49.56
Dec-98,51.02
Jan-99,48.86
Feb-99,46.16
Mar-99,57.76
Apr-99,54.97
May-99,55.47
Jun-99,59.92
Jul-99,64.4
Aug-99,63.75
Sep-99,53.73
Oct-99,57.41
Nov-99,53.87
Dec-99,52.33
Jan-00,49.75
Feb-00,49.88
Mar-00,61.38
Apr-00,58.98
May-00,61.17
Jun-00,65.52
Jul-00,67.88
Aug-00,66.92
Sep-00,56.44
Oct-00,58.83
Nov-00,56.28
Dec-00,55.38
1-Jan,53.13
1-Feb,49.99
1-Mar,62.32
1-Apr,59.8
1-May,60.25
1-Jun,64.99
1-Jul,68.57
1-Aug,69
1-Sep,39.11
1-Oct,44.27
1-Nov,45.25
1-Dec,48.17
2-Jan,46.59
2-Feb,45.16
2-Mar,57.42
2-Apr,53.01
2-May,55.66
2-Jun,60.22
2-Jul,62.57
2-Aug,62.88
2-Sep,48.93
2-Oct,52.78
2-Nov,48.9
2-Dec,55.36
3-Jan,50.6
3-Feb,46.46
3-Mar,56.03
3-Apr,51.15
3-May,53.59
3-Jun,59.43
3-Jul,65.04
3-Aug,64.1
3-Sep,51.35
3-Oct,55.81
3-Nov,53.25
3-Dec,57.8
4-Jan,53.45
4-Feb,52.61
4-Mar,63.6
4-Apr,61.89
4-May,62.07
4-Jun,67.83